dataset,mode,role,lambda,n_budget_type,ratio_type,median,ci_low,ci_high,n_star_median,n_star_ci_low,n_star_ci_high,n_bootstrap_success,n_bootstrap_fail
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.25,observed_max,rho_95,0.18181818181818182,0.18181818181818182,0.18181818181818182,4.0,4.0,4.0,200,0
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5,observed_max,rho_95,0.3181818181818182,0.3181818181818182,0.3181818181818182,7.0,7.0,7.0,200,0
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.75,observed_max,rho_95,0.5909090909090909,0.5909090909090909,0.5909090909090909,13.0,13.0,13.0,200,0
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.9,observed_max,rho_95,1.0,1.0,1.0,22.0,22.0,22.0,200,0
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.25,N95,rho_95,0.13636363636363635,0.13636363636363635,0.13636363636363635,3.0,3.0,3.0,200,0
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5,N95,rho_95,0.22727272727272727,0.22727272727272727,0.22727272727272727,5.0,5.0,5.0,200,0
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.75,N95,rho_95,0.4090909090909091,0.4090909090909091,0.4090909090909091,9.0,9.0,9.0,200,0
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.9,N95,rho_95,0.6818181818181818,0.6818181818181818,0.6818181818181818,15.0,15.0,15.0,200,0
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.25,fixed_cap_50,rho_95,0.18181818181818182,0.18181818181818182,0.18181818181818182,4.0,4.0,4.0,200,0
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.5,fixed_cap_50,rho_95,0.3181818181818182,0.3181818181818182,0.3181818181818182,7.0,7.0,7.0,200,0
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.75,fixed_cap_50,rho_95,0.5909090909090909,0.5909090909090909,0.5909090909090909,13.0,13.0,13.0,200,0
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.9,fixed_cap_50,rho_95,1.0,1.0,1.0,22.0,22.0,22.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.25,observed_max,rho_95,0.1724137931034483,0.15384615384615385,0.19230769230769232,5.0,4.0,5.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.5,observed_max,rho_95,0.2962962962962963,0.26645161290322583,0.3076923076923077,8.0,8.0,9.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.75,observed_max,rho_95,0.5185185185185185,0.4838709677419355,0.5384615384615384,14.0,14.0,15.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.9,observed_max,rho_95,0.9230769230769231,0.84375,0.9615384615384616,25.0,24.0,27.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.25,N95,rho_95,0.1111111111111111,0.1,0.13333333333333333,3.0,3.0,4.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.5,N95,rho_95,0.2222222222222222,0.2,0.23076923076923078,6.0,6.0,7.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.75,N95,rho_95,0.38461538461538464,0.36666666666666664,0.39285714285714285,10.0,10.0,12.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.9,N95,rho_95,0.6666666666666666,0.6538461538461539,0.6923076923076923,18.0,17.0,21.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.25,fixed_cap_50,rho_95,0.1724137931034483,0.15384615384615385,0.19230769230769232,5.0,4.0,5.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.5,fixed_cap_50,rho_95,0.2962962962962963,0.26645161290322583,0.3076923076923077,8.0,8.0,9.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.75,fixed_cap_50,rho_95,0.5185185185185185,0.4838709677419355,0.5384615384615384,14.0,14.0,15.0,200,0
ChaosNLI,reference_distribution,primary_saturating_validation,0.9,fixed_cap_50,rho_95,0.9230769230769231,0.84375,0.9615384615384616,25.0,24.0,27.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.25,observed_max,rho_95,0.1,0.0967741935483871,0.10344827586206896,3.0,3.0,3.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.5,observed_max,rho_95,0.16666666666666666,0.16129032258064516,0.1724137931034483,5.0,5.0,5.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.75,observed_max,rho_95,0.3,0.3,0.3333333333333333,9.0,9.0,10.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.9,observed_max,rho_95,0.5666666666666667,0.5483870967741935,0.5862068965517241,17.0,16.0,17.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.25,N95,rho_95,0.10344827586206896,0.1,0.13333333333333333,3.0,3.0,4.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.5,N95,rho_95,0.2,0.2,0.22580645161290322,6.0,6.0,7.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.75,N95,rho_95,0.36666666666666664,0.36666666666666664,0.3870967741935484,11.0,11.0,12.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.9,N95,rho_95,0.6666666666666666,0.6551724137931034,0.6896551724137931,20.0,19.0,21.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.25,fixed_cap_50,rho_95,0.16666666666666666,0.16129032258064516,0.1724137931034483,5.0,5.0,5.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.5,fixed_cap_50,rho_95,0.26666666666666666,0.25806451612903225,0.27586206896551724,8.0,8.0,8.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.75,fixed_cap_50,rho_95,0.5,0.4838709677419355,0.5172413793103449,15.0,15.0,15.0,200,0
Snapshot_Serengeti,gold_accuracy,supporting_citizen_science_evidence,0.9,fixed_cap_50,rho_95,0.8666666666666667,0.8387096774193549,0.896551724137931,26.0,26.0,26.0,200,0
CIFAR-10H,reference_distribution,sensitivity_supporting,0.25,observed_max,rho_95,0.022033331305881636,0.0035606685413913375,0.06988636363636362,3.0,2.475,3.0,200,0
CIFAR-10H,reference_distribution,sensitivity_supporting,0.5,observed_max,rho_95,0.05016422358737303,0.00845891670061707,0.14746232269503545,6.0,6.0,7.0,200,0
CIFAR-10H,reference_distribution,sensitivity_supporting,0.75,observed_max,rho_95,0.10642600815035581,0.01899644266025418,0.2795454545454545,12.0,12.0,14.524999999999999,200,0
CIFAR-10H,reference_distribution,sensitivity_supporting,0.9,observed_max,rho_95,0.18236421142266285,0.03524548625257112,0.5,25.0,21.475,25.0,200,0
CIFAR-10H,reference_distribution,sensitivity_supporting,0.25,fixed_cap_50,rho_95,0.03547533605011861,0.005639277800411379,0.11647727272727272,4.5,4.0,5.0,200,0
CIFAR-10H,reference_distribution,sensitivity_supporting,0.5,fixed_cap_50,rho_95,0.08265051656572853,0.01409819450102845,0.21992753623188405,10.0,9.0,11.0,200,0
CIFAR-10H,reference_distribution,sensitivity_supporting,0.75,fixed_cap_50,rho_95,0.16341463414634147,0.030274998261076942,0.40476190476190477,19.0,17.475,22.525,200,0
CIFAR-10H,reference_distribution,sensitivity_supporting,0.9,fixed_cap_50,rho_95,0.30365853658536585,0.06403842523127677,0.7252777777777778,38.0,31.0,45.574999999999996,200,0
